s2_4.jpg vs s1_13.jpg;[17, 21, 17, 21, 21, 26, 20, 20];
s2_4.jpg vs s2_2.jpg;[13, 13, 13, 13, 20, 18, 21, 22];
s1_1.jpg vs s2_0.jpg;[14, 19, 14, 19, 18, 20, 14, 17];
s1_1.jpg vs s2_8.jpg;[12, 14, 12, 14, 21, 22, 19, 21];
s1_1.jpg vs s1_5.jpg;[11, 13, 11, 13, 17, 18, 14, 17];
s1_1.jpg vs s1_14.jpg;[26, 34, 33, 34, 24, 29, 27, 30];
s1_1.jpg vs s3_1.jpg;[28, 27, 28, 27, 35, 37, 30, 35];
s1_1.jpg vs s1_0.jpg;[15, 19, 15, 19, 15, 18, 15, 17];
s1_1.jpg vs s1_12.jpg;[20, 17, 20, 17, 22, 20, 19, 18];
s1_1.jpg vs s2_12.jpg;[10, 10, 10, 10, 13, 14, 10, 9];
s1_1.jpg vs s1_10.jpg;[9, 8, 9, 8, 10, 13, 12, 13];
s1_1.jpg vs s1_7.jpg;[7, 8, 7, 8, 12, 16, 11, 15];
s1_1.jpg vs s2_14.jpg;[19, 17, 19, 17, 18, 16, 19, 19];
s1_1.jpg vs s2_3.jpg;[7, 7, 7, 7, 11, 11, 9, 10];
s1_1.jpg vs s2_5.jpg;[7, 9, 7, 9, 12, 14, 11, 13];
s1_1.jpg vs s2_9.jpg;[8, 8, 8, 8, 10, 13, 12, 13];
s1_1.jpg vs s2_13.jpg;[17, 17, 17, 17, 20, 21, 22, 26];
s1_1.jpg vs s1_4.jpg;[7, 7, 7, 7, 12, 12, 9, 8];
s1_1.jpg vs s2_6.jpg;[7, 8, 7, 8, 9, 9, 13, 13];
s1_1.jpg vs s1_2.jpg;[15, 19, 15, 19, 15, 18, 15, 17];
s1_1.jpg vs s1_3.jpg;[13, 11, 13, 11, 12, 13, 14, 13];
s1_1.jpg vs s1_11.jpg;[30, 35, 30, 35, 33, 34, 35, 36];
s1_1.jpg vs s2_10.jpg;[31, 34, 31, 34, 33, 32, 35, 35];
s1_1.jpg vs s3_2.jpg;[33, 28, 33, 28, 28, 25, 26, 24];
s1_1.jpg vs s2_1.jpg;[0, 0, 0, 0, 0, 0, 1, 2];1
s1_1.jpg vs s2_15.jpg;[22, 26, 22, 26, 30, 29, 28, 29];
s1_1.jpg vs s2_7.jpg;[12, 15, 12, 15, 10, 12, 15, 16];
s1_1.jpg vs s1_6.jpg;[8, 9, 8, 9, 12, 14, 10, 12];
s1_1.jpg vs s1_9.jpg;[15, 13, 15, 13, 21, 22, 19, 21];
s1_1.jpg vs s2_11.jpg;[15, 16, 15, 16, 16, 16, 15, 18];
s1_1.jpg vs s1_15.jpg;[20, 17, 20, 17, 22, 20, 19, 18];
s1_1.jpg vs s1_13.jpg;[17, 16, 17, 16, 21, 23, 20, 21];
s1_1.jpg vs s2_2.jpg;[13, 12, 13, 12, 16, 15, 15, 15];
s2_0.jpg vs s2_8.jpg;[22, 25, 22, 25, 27, 28, 25, 28];
s2_0.jpg vs s1_5.jpg;[19, 20, 19, 20, 21, 22, 20, 22];
s2_0.jpg vs s1_14.jpg;[28, 33, 35, 33, 28, 29, 31, 35];
s2_0.jpg vs s3_1.jpg;[28, 28, 28, 28, 27, 27, 24, 30];
s2_0.jpg vs s1_0.jpg;[1, 0, 1, 0, 3, 2, 3, 6];1
s2_0.jpg vs s1_12.jpg;[12, 14, 12, 14, 20, 18, 17, 17];
s2_0.jpg vs s2_12.jpg;[10, 11, 10, 11, 15, 18, 10, 14];
s2_0.jpg vs s1_10.jpg;[15, 15, 15, 15, 18, 19, 16, 18];
s2_0.jpg vs s1_7.jpg;[19, 23, 19, 23, 18, 22, 21, 22];
s2_0.jpg vs s2_14.jpg;[15, 14, 15, 14, 18, 18, 15, 14];
s2_0.jpg vs s2_3.jpg;[13, 14, 13, 14, 15, 15, 11, 15];
s2_0.jpg vs s2_5.jpg;[17, 22, 17, 22, 22, 24, 17, 22];
s2_0.jpg vs s2_9.jpg;[14, 15, 14, 15, 18, 19, 16, 18];
s2_0.jpg vs s2_13.jpg;[27, 28, 27, 28, 28, 31, 28, 35];
s2_0.jpg vs s1_4.jpg;[13, 14, 13, 14, 16, 16, 13, 15];
s2_0.jpg vs s2_6.jpg;[19, 23, 19, 23, 21, 23, 23, 24];
s2_0.jpg vs s1_2.jpg;[1, 0, 1, 0, 3, 2, 3, 6];1
s2_0.jpg vs s1_3.jpg;[15, 16, 15, 16, 18, 19, 16, 18];
s2_0.jpg vs s1_11.jpg;[22, 20, 22, 20, 29, 28, 29, 29];
s2_0.jpg vs s2_10.jpg;[23, 19, 23, 19, 27, 26, 27, 26];
s2_0.jpg vs s3_2.jpg;[27, 29, 27, 29, 24, 19, 24, 21];
s2_0.jpg vs s2_1.jpg;[14, 19, 14, 19, 18, 20, 13, 17];
s2_0.jpg vs s2_15.jpg;[26, 27, 26, 27, 32, 29, 34, 34];
s2_0.jpg vs s2_7.jpg;[20, 26, 20, 26, 18, 20, 25, 27];
s2_0.jpg vs s1_6.jpg;[16, 22, 16, 22, 22, 24, 20, 25];
s2_0.jpg vs s1_9.jpg;[23, 26, 23, 26, 27, 28, 25, 28];
s2_0.jpg vs s2_11.jpg;[19, 17, 19, 17, 18, 20, 17, 21];
s2_0.jpg vs s1_15.jpg;[12, 14, 12, 14, 20, 18, 17, 17];
s2_0.jpg vs s1_13.jpg;[27, 27, 27, 27, 23, 29, 26, 32];
s2_0.jpg vs s2_2.jpg;[15, 17, 15, 17, 16, 17, 15, 18];
s2_8.jpg vs s1_5.jpg;[23, 25, 23, 25, 18, 18, 21, 20];
s2_8.jpg vs s1_14.jpg;[34, 34, 37, 34, 33, 35, 32, 35];
s2_8.jpg vs s3_1.jpg;[30, 29, 30, 29, 30, 31, 29, 32];
s2_8.jpg vs s1_0.jpg;[23, 25, 23, 25, 24, 26, 26, 28];
s2_8.jpg vs s1_12.jpg;[28, 23, 28, 23, 33, 30, 34, 33];
s2_8.jpg vs s2_12.jpg;[20, 16, 20, 16, 18, 18, 23, 22];
s2_8.jpg vs s1_10.jpg;[15, 12, 15, 12, 17, 17, 15, 16];
s2_8.jpg vs s1_7.jpg;[11, 12, 11, 12, 17, 14, 20, 18];
s2_8.jpg vs s2_14.jpg;[27, 23, 27, 23, 35, 34, 34, 34];
s2_8.jpg vs s2_3.jpg;[17, 11, 17, 11, 24, 23, 22, 23];
s2_8.jpg vs s2_5.jpg;[13, 9, 13, 9, 23, 24, 20, 22];
s2_8.jpg vs s2_9.jpg;[14, 12, 14, 12, 17, 17, 15, 16];
s2_8.jpg vs s2_13.jpg;[17, 19, 17, 19, 25, 29, 25, 29];
s2_8.jpg vs s1_4.jpg;[17, 11, 17, 11, 25, 24, 24, 23];
s2_8.jpg vs s2_6.jpg;[11, 12, 11, 12, 18, 19, 18, 18];
s2_8.jpg vs s1_2.jpg;[23, 25, 23, 25, 24, 26, 26, 28];
s2_8.jpg vs s1_3.jpg;[23, 23, 23, 23, 31, 31, 29, 28];
s2_8.jpg vs s1_11.jpg;[40, 41, 40, 41, 32, 30, 32, 31];
s2_8.jpg vs s2_10.jpg;[41, 40, 41, 40, 34, 32, 36, 36];
s2_8.jpg vs s3_2.jpg;[39, 36, 39, 36, 43, 37, 41, 35];
s2_8.jpg vs s2_1.jpg;[12, 14, 12, 14, 21, 22, 20, 21];
s2_8.jpg vs s2_15.jpg;[26, 28, 26, 28, 35, 33, 35, 32];
s2_8.jpg vs s2_7.jpg;[20, 21, 20, 21, 27, 26, 28, 29];
s2_8.jpg vs s1_6.jpg;[12, 9, 12, 9, 25, 26, 23, 25];
s2_8.jpg vs s1_9.jpg;[3, 1, 3, 1, 0, 0, 0, 0];1
s2_8.jpg vs s2_11.jpg;[21, 16, 21, 16, 17, 16, 16, 19];
s2_8.jpg vs s1_15.jpg;[28, 23, 28, 23, 33, 30, 34, 33];
s2_8.jpg vs s1_13.jpg;[17, 18, 17, 18, 24, 25, 27, 28];
s2_8.jpg vs s2_2.jpg;[23, 24, 23, 24, 31, 31, 28, 28];
s1_5.jpg vs s1_14.jpg;[27, 29, 32, 29, 27, 31, 29, 33];
s1_5.jpg vs s3_1.jpg;[29, 28, 29, 28, 28, 31, 30, 34];
s1_5.jpg vs s1_0.jpg;[20, 20, 20, 20, 18, 20, 17, 20];
s1_5.jpg vs s1_12.jpg;[25, 24, 25, 24, 27, 24, 25, 27];
s1_5.jpg vs s2_12.jpg;[15, 15, 15, 15, 16, 16, 16, 14];
s1_5.jpg vs s1_10.jpg;[18, 17, 18, 17, 15, 17, 14, 14];
s1_5.jpg vs s1_7.jpg;[12, 13, 12, 13, 15, 14, 15, 16];
s1_5.jpg vs s2_14.jpg;[22, 24, 22, 24, 29, 28, 25, 28];
s1_5.jpg vs s2_3.jpg;[12, 14, 12, 14, 20, 19, 15, 15];
s1_5.jpg vs s2_5.jpg;[16, 22, 16, 22, 27, 28, 21, 24];
s1_5.jpg vs s2_9.jpg;[17, 17, 17, 17, 15, 17, 14, 14];
s1_5.jpg vs s2_13.jpg;[18, 20, 18, 20, 25, 27, 24, 27];
s1_5.jpg vs s1_4.jpg;[12, 14, 12, 14, 21, 20, 15, 17];
s1_5.jpg vs s2_6.jpg;[12, 13, 12, 13, 16, 17, 15, 16];
s1_5.jpg vs s1_2.jpg;[20, 20, 20, 20, 18, 20, 17, 20];
s1_5.jpg vs s1_3.jpg;[14, 14, 14, 14, 19, 19, 22, 22];
s1_5.jpg vs s1_11.jpg;[25, 26, 25, 26, 24, 22, 25, 23];
s1_5.jpg vs s2_10.jpg;[24, 25, 24, 25, 26, 24, 25, 22];
s1_5.jpg vs s3_2.jpg;[30, 27, 30, 27, 35, 29, 32, 29];
s1_5.jpg vs s2_1.jpg;[11, 13, 11, 13, 17, 18, 15, 15];
s1_5.jpg vs s2_15.jpg;[19, 21, 19, 21, 27, 25, 28, 26];
s1_5.jpg vs s2_7.jpg;[17, 18, 17, 18, 21, 22, 23, 23];
s1_5.jpg vs s1_6.jpg;[17, 22, 17, 22, 27, 28, 24, 27];
s1_5.jpg vs s1_9.jpg;[26, 26, 26, 26, 18, 18, 21, 20];
s1_5.jpg vs s2_11.jpg;[20, 19, 20, 19, 17, 16, 15, 13];
s1_5.jpg vs s1_15.jpg;[25, 24, 25, 24, 27, 24, 25, 27];
s1_5.jpg vs s1_13.jpg;[18, 21, 18, 21, 24, 29, 22, 26];
s1_5.jpg vs s2_2.jpg;[14, 13, 14, 13, 23, 23, 21, 22];
s1_14.jpg vs s3_1.jpg;[30, 25, 27, 25, 37, 32, 35, 33];
s1_14.jpg vs s1_0.jpg;[27, 33, 34, 33, 27, 29, 30, 33];
s1_14.jpg vs s1_12.jpg;[30, 35, 35, 35, 28, 31, 30, 34];
s1_14.jpg vs s2_12.jpg;[24, 28, 31, 28, 27, 33, 29, 33];
s1_14.jpg vs s1_10.jpg;[25, 30, 32, 30, 26, 28, 27, 31];
s1_14.jpg vs s1_7.jpg;[31, 34, 36, 34, 22, 29, 24, 27];
s1_14.jpg vs s2_14.jpg;[31, 35, 36, 35, 28, 31, 32, 35];
s1_14.jpg vs s2_3.jpg;[23, 31, 30, 31, 27, 32, 28, 34];
s1_14.jpg vs s2_5.jpg;[25, 33, 32, 33, 28, 35, 32, 37];
s1_14.jpg vs s2_9.jpg;[24, 30, 31, 30, 26, 28, 27, 31];
s1_14.jpg vs s2_13.jpg;[29, 33, 32, 33, 26, 32, 29, 32];
s1_14.jpg vs s1_4.jpg;[23, 31, 30, 31, 28, 33, 30, 34];
s1_14.jpg vs s2_6.jpg;[31, 34, 36, 34, 23, 28, 24, 29];
s1_14.jpg vs s1_2.jpg;[27, 33, 34, 33, 27, 29, 30, 33];
s1_14.jpg vs s1_3.jpg;[25, 33, 32, 33, 28, 34, 31, 35];
s1_14.jpg vs s1_11.jpg;[24, 23, 23, 23, 31, 31, 30, 28];
s1_14.jpg vs s2_10.jpg;[23, 24, 22, 24, 29, 31, 30, 27];
s1_14.jpg vs s3_2.jpg;[31, 28, 28, 28, 30, 32, 33, 32];
s1_14.jpg vs s2_1.jpg;[26, 34, 33, 34, 24, 29, 26, 30];
s1_14.jpg vs s2_15.jpg;[24, 26, 27, 26, 16, 12, 13, 15];
s1_14.jpg vs s2_7.jpg;[34, 37, 39, 37, 20, 25, 24, 28];
s1_14.jpg vs s1_6.jpg;[26, 33, 33, 33, 26, 33, 29, 34];
s1_14.jpg vs s1_9.jpg;[31, 35, 34, 35, 33, 35, 32, 35];
s1_14.jpg vs s2_11.jpg;[19, 26, 26, 26, 26, 31, 28, 28];
s1_14.jpg vs s1_15.jpg;[30, 35, 35, 35, 28, 31, 30, 34];
s1_14.jpg vs s1_13.jpg;[29, 34, 32, 34, 25, 32, 29, 31];
s1_14.jpg vs s2_2.jpg;[25, 34, 32, 34, 30, 34, 32, 35];
s3_1.jpg vs s1_0.jpg;[27, 28, 27, 28, 26, 27, 25, 28];
s3_1.jpg vs s1_12.jpg;[28, 28, 28, 28, 35, 33, 35, 37];
s3_1.jpg vs s2_12.jpg;[28, 27, 28, 27, 34, 37, 28, 32];
s3_1.jpg vs s1_10.jpg;[25, 23, 25, 23, 33, 32, 30, 34];
s3_1.jpg vs s1_7.jpg;[25, 27, 25, 27, 27, 25, 27, 30];
s3_1.jpg vs s2_14.jpg;[31, 28, 31, 28, 33, 33, 27, 34];
s3_1.jpg vs s2_3.jpg;[25, 22, 25, 22, 24, 26, 21, 25];
s3_1.jpg vs s2_5.jpg;[27, 26, 27, 26, 27, 29, 25, 26];
s3_1.jpg vs s2_9.jpg;[26, 23, 26, 23, 33, 32, 30, 34];
s3_1.jpg vs s2_13.jpg;[33, 36, 33, 36, 37, 42, 36, 39];
s3_1.jpg vs s1_4.jpg;[25, 22, 25, 22, 25, 27, 23, 27];
s3_1.jpg vs s2_6.jpg;[25, 27, 25, 27, 30, 32, 31, 36];
s3_1.jpg vs s1_2.jpg;[27, 28, 27, 28, 26, 27, 25, 28];
s3_1.jpg vs s1_3.jpg;[25, 26, 25, 26, 29, 30, 26, 30];
s3_1.jpg vs s1_11.jpg;[22, 20, 22, 20, 28, 29, 27, 29];
s3_1.jpg vs s2_10.jpg;[23, 21, 23, 21, 30, 31, 27, 32];
s3_1.jpg vs s3_2.jpg;[23, 23, 23, 23, 27, 26, 26, 25];
s3_1.jpg vs s2_1.jpg;[28, 27, 28, 27, 35, 37, 29, 35];
s3_1.jpg vs s2_15.jpg;[30, 35, 30, 35, 29, 30, 30, 36];
s3_1.jpg vs s2_7.jpg;[22, 26, 22, 26, 29, 27, 27, 29];
s3_1.jpg vs s1_6.jpg;[28, 26, 28, 26, 29, 29, 26, 29];
s3_1.jpg vs s1_9.jpg;[27, 30, 27, 30, 30, 31, 29, 32];
s3_1.jpg vs s2_11.jpg;[27, 23, 27, 23, 37, 39, 33, 41];
s3_1.jpg vs s1_15.jpg;[28, 28, 28, 28, 35, 33, 35, 37];
s3_1.jpg vs s1_13.jpg;[33, 33, 33, 33, 36, 42, 38, 40];
s3_1.jpg vs s2_2.jpg;[25, 25, 25, 25, 25, 28, 25, 28];
s1_0.jpg vs s1_12.jpg;[13, 14, 13, 14, 19, 18, 18, 19];
s1_0.jpg vs s2_12.jpg;[9, 11, 9, 11, 14, 16, 11, 14];
s1_0.jpg vs s1_10.jpg;[14, 15, 14, 15, 15, 17, 17, 18];
s1_0.jpg vs s1_7.jpg;[20, 23, 20, 23, 15, 20, 20, 24];
s1_0.jpg vs s2_14.jpg;[16, 14, 16, 14, 19, 20, 16, 18];
s1_0.jpg vs s2_3.jpg;[12, 14, 12, 14, 12, 13, 14, 17];
s1_0.jpg vs s2_5.jpg;[18, 22, 18, 22, 19, 22, 18, 22];
s1_0.jpg vs s2_9.jpg;[13, 15, 13, 15, 15, 17, 17, 18];
s1_0.jpg vs s2_13.jpg;[28, 28, 28, 28, 25, 29, 27, 33];
s1_0.jpg vs s1_4.jpg;[12, 14, 12, 14, 13, 14, 14, 15];
s1_0.jpg vs s2_6.jpg;[20, 23, 20, 23, 18, 21, 20, 22];
s1_0.jpg vs s1_2.jpg;[0, 0, 0, 0, 0, 0, 0, 0];1
s1_0.jpg vs s1_3.jpg;[16, 16, 16, 16, 15, 17, 15, 16];
s1_0.jpg vs s1_11.jpg;[21, 20, 21, 20, 28, 28, 28, 27];
s1_0.jpg vs s2_10.jpg;[22, 19, 22, 19, 28, 26, 26, 24];
s1_0.jpg vs s3_2.jpg;[28, 29, 28, 29, 25, 21, 25, 21];
s1_0.jpg vs s2_1.jpg;[15, 19, 15, 19, 15, 18, 14, 15];
s1_0.jpg vs s2_15.jpg;[25, 27, 25, 27, 31, 29, 33, 34];
s1_0.jpg vs s2_7.jpg;[21, 26, 21, 26, 15, 18, 22, 25];
s1_0.jpg vs s1_6.jpg;[17, 22, 17, 22, 19, 22, 21, 25];
s1_0.jpg vs s1_9.jpg;[22, 26, 22, 26, 24, 26, 26, 28];
s1_0.jpg vs s2_11.jpg;[18, 17, 18, 17, 17, 20, 18, 21];
s1_0.jpg vs s1_15.jpg;[13, 14, 13, 14, 19, 18, 18, 19];
s1_0.jpg vs s1_13.jpg;[28, 27, 28, 27, 20, 27, 25, 30];
s1_0.jpg vs s2_2.jpg;[16, 17, 16, 17, 13, 15, 14, 16];
s1_12.jpg vs s2_12.jpg;[14, 15, 14, 15, 21, 20, 21, 23];
s1_12.jpg vs s1_10.jpg;[19, 15, 19, 15, 16, 15, 21, 21];
s1_12.jpg vs s1_7.jpg;[23, 19, 23, 19, 20, 20, 18, 19];
s1_12.jpg vs s2_14.jpg;[3, 0, 3, 0, 8, 8, 8, 7];1
s1_12.jpg vs s2_3.jpg;[17, 16, 17, 16, 23, 21, 22, 24];
s1_12.jpg vs s2_5.jpg;[19, 18, 19, 18, 30, 28, 26, 27];
s1_12.jpg vs s2_9.jpg;[20, 15, 20, 15, 16, 15, 21, 21];
s1_12.jpg vs s2_13.jpg;[33, 28, 33, 28, 28, 27, 27, 30];
s1_12.jpg vs s1_4.jpg;[17, 16, 17, 16, 24, 22, 20, 24];
s1_12.jpg vs s2_6.jpg;[23, 19, 23, 19, 23, 21, 18, 19];
s1_12.jpg vs s1_2.jpg;[13, 14, 13, 14, 19, 18, 18, 19];
s1_12.jpg vs s1_3.jpg;[17, 20, 17, 20, 22, 19, 23, 23];
s1_12.jpg vs s1_11.jpg;[30, 32, 30, 32, 25, 24, 30, 28];
s1_12.jpg vs s2_10.jpg;[29, 31, 29, 31, 25, 22, 28, 27];
s1_12.jpg vs s3_2.jpg;[23, 27, 23, 27, 28, 21, 25, 20];
s1_12.jpg vs s2_1.jpg;[20, 17, 20, 17, 22, 20, 18, 20];
s1_12.jpg vs s2_15.jpg;[28, 33, 28, 33, 28, 27, 27, 31];
s1_12.jpg vs s2_7.jpg;[22, 26, 22, 26, 20, 22, 18, 20];
s1_12.jpg vs s1_6.jpg;[18, 18, 18, 18, 32, 28, 25, 26];
s1_12.jpg vs s1_9.jpg;[27, 24, 27, 24, 33, 30, 34, 33];
s1_12.jpg vs s2_11.jpg;[25, 21, 25, 21, 24, 20, 28, 24];
s1_12.jpg vs s1_15.jpg;[0, 0, 0, 0, 0, 0, 0, 0];1
s1_12.jpg vs s1_13.jpg;[33, 27, 33, 27, 29, 31, 27, 25];
s1_12.jpg vs s2_2.jpg;[17, 21, 17, 21, 26, 23, 24, 25];
s2_12.jpg vs s1_10.jpg;[11, 8, 11, 8, 13, 15, 14, 12];
s2_12.jpg vs s1_7.jpg;[15, 14, 15, 14, 17, 20, 19, 20];
s2_12.jpg vs s2_14.jpg;[15, 15, 15, 15, 25, 26, 19, 20];
s2_12.jpg vs s2_3.jpg;[7, 7, 7, 7, 12, 13, 9, 9];
s2_12.jpg vs s2_5.jpg;[11, 13, 11, 13, 17, 18, 13, 12];
s2_12.jpg vs s2_9.jpg;[10, 8, 10, 8, 13, 15, 14, 12];
s2_12.jpg vs s2_13.jpg;[21, 21, 21, 21, 23, 25, 22, 25];
s2_12.jpg vs s1_4.jpg;[7, 7, 7, 7, 13, 12, 11, 9];
s2_12.jpg vs s2_6.jpg;[15, 14, 15, 14, 20, 21, 19, 18];
s2_12.jpg vs s1_2.jpg;[9, 11, 9, 11, 14, 16, 11, 14];
s2_12.jpg vs s1_3.jpg;[11, 13, 11, 13, 15, 17, 12, 12];
s2_12.jpg vs s1_11.jpg;[28, 29, 28, 29, 30, 30, 33, 33];
s2_12.jpg vs s2_10.jpg;[27, 28, 27, 28, 30, 28, 31, 32];
s2_12.jpg vs s3_2.jpg;[33, 28, 33, 28, 29, 25, 26, 23];
s2_12.jpg vs s2_1.jpg;[10, 10, 10, 10, 13, 14, 9, 7];
s2_12.jpg vs s2_15.jpg;[20, 22, 20, 22, 31, 31, 28, 32];
s2_12.jpg vs s2_7.jpg;[18, 21, 18, 21, 17, 22, 21, 21];
s2_12.jpg vs s1_6.jpg;[12, 13, 12, 13, 17, 18, 16, 15];
s2_12.jpg vs s1_9.jpg;[19, 17, 19, 17, 18, 18, 23, 22];
s2_12.jpg vs s2_11.jpg;[11, 10, 11, 10, 11, 10, 15, 15];
s2_12.jpg vs s1_15.jpg;[14, 15, 14, 15, 21, 20, 21, 23];
s2_12.jpg vs s1_13.jpg;[21, 20, 21, 20, 20, 25, 20, 22];
s2_12.jpg vs s2_2.jpg;[11, 14, 11, 14, 15, 17, 11, 12];
s1_10.jpg vs s1_7.jpg;[12, 10, 12, 10, 8, 11, 11, 14];
s1_10.jpg vs s2_14.jpg;[20, 15, 20, 15, 22, 21, 23, 22];
s1_10.jpg vs s2_3.jpg;[8, 3, 8, 3, 15, 14, 13, 13];
s1_10.jpg vs s2_5.jpg;[10, 9, 10, 9, 22, 23, 19, 20];
s1_10.jpg vs s2_9.jpg;[1, 0, 1, 0, 0, 0, 0, 0];1
s1_10.jpg vs s2_13.jpg;[18, 19, 18, 19, 20, 20, 20, 23];
